InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
32062183,30387470,Anything Gift,6,2023-04-05 04:32:53,1.55,228989911,United Kingdom
17870460,35862507,Tv Gift,10,2023-04-27 12:38:01,68.01,772492132,United Kingdom
31648991,91819864,Mrs Gift,5,2023-04-21 06:12:08,47.58,608534700,United Kingdom
66898691,21535859,May Gift,9,2023-03-10 19:20:11,8.3,380841810,United Kingdom
59508416,93622551,Study Gift,6,2023-06-07 21:03:18,36.64,150595719,United Kingdom
24859192,10623377,Majority Gift,14,2023-06-20 07:42:59,86.62,829161852,United Kingdom
26826040,74776336,Knowledge Gift,1,2023-04-22 07:44:39,92.35,413496052,United Kingdom
94194198,56287734,Follow Gift,12,2023-03-15 11:32:57,27.83,249417123,United Kingdom
40681675,13438117,Cup Gift,8,2023-06-21 08:44:32,9.3,524511176,United Kingdom
43029715,44911284,Laugh Gift,15,2023-01-12 14:10:33,40.25,665848166,United Kingdom
25130615,74785878,Worry Gift,11,2023-05-02 14:38:56,44.87,881531386,United Kingdom
18201209,67465362,Others Gift,2,2023-05-03 02:58:07,10.02,803063142,United Kingdom
97733021,10928803,Piece Gift,4,2023-01-13 09:50:59,55.22,988536840,United Kingdom
13380160,27703240,High Gift,4,2023-01-18 16:07:31,32.6,700169214,United Kingdom
42219497,30852183,Loss Gift,18,2023-05-09 17:27:21,97.04,218412966,United Kingdom
74369390,35866928,End Gift,14,2022-12-29 18:24:30,77.5,178752615,United Kingdom
32993969,38801616,Last Gift,2,2023-02-18 03:54:01,48.03,936293447,United Kingdom
25044578,86577616,Daughter Gift,3,2023-02-27 01:12:43,43.37,126459924,United Kingdom
59429068,52084635,How Gift,13,2023-05-21 11:23:18,71.43,788531873,United Kingdom
54031159,32162465,Create Gift,10,2023-05-08 08:54:08,72.08,170428647,United Kingdom
C66548999,97606974,Morning Gift,12,2023-04-14 16:17:32,79.92,166916226,United Kingdom
29372370,14087096,Assume Gift,11,2023-05-01 09:48:45,64.52,843440198,United Kingdom
92689564,47538563,Weight Gift,6,2023-06-25 12:10:56,12.22,147929695,United Kingdom
21687040,69992651,Measure Gift,7,2023-03-21 03:14:29,38.12,587869117,United Kingdom
29425972,64479529,Little Gift,8,2023-01-25 07:50:35,91.67,100360402,United Kingdom
65581283,63198462,Always Gift,14,2023-05-27 01:22:51,13.89,488359678,United Kingdom
81973090,99135982,Scientist Gift,3,2022-12-25 12:16:50,96.7,682397619,United Kingdom
14542482,34845297,Work Gift,18,2023-01-29 11:10:42,81.53,882529844,United Kingdom
64508261,84899615,Human Gift,14,2023-01-06 21:06:49,10.29,920023756,United Kingdom
96776028,57151850,Drive Gift,14,2023-02-10 12:41:04,26.19,276163252,United Kingdom
18002406,34396747,Wife Gift,16,2023-02-22 06:21:31,38.1,723095082,United Kingdom
94540304,57611947,Interview Gift,15,2023-06-15 20:21:20,70.85,878470329,United Kingdom
36485225,59562215,Season Gift,17,2022-12-02 05:58:09,95.36,202564140,United Kingdom
21488405,15434658,Most Gift,16,2023-05-15 22:57:00,99.72,944260646,United Kingdom
69935314,57909248,Design Gift,9,2023-05-30 22:08:05,79.43,281804244,United Kingdom
90396812,86982314,International Gift,13,2023-06-24 15:11:59,5.19,918317595,United Kingdom
69655150,71569348,Concern Gift,18,2022-12-19 10:43:25,51.93,424602127,United Kingdom
14765274,21919141,Yard Gift,10,2023-02-26 18:10:38,10.98,127762687,United Kingdom
96470429,27093117,Often Gift,11,2023-04-29 00:17:13,0.69,239604068,United Kingdom
66809714,42257062,Director Gift,15,2023-06-17 05:15:29,74.17,888807875,United Kingdom
23894842,14341861,Prevent Gift,3,2023-01-10 06:38:27,5.26,175690129,United Kingdom
27012189,39269409,Peace Gift,5,2023-03-26 14:24:40,59.42,893677385,United Kingdom
45896469,42513012,Own Gift,14,2023-03-04 02:27:01,5.68,236938840,United Kingdom
47135879,73642411,Statement Gift,11,2023-02-11 14:53:47,87.97,643461224,United Kingdom
17330809,13029523,Campaign Gift,11,2023-01-30 02:49:33,6.63,674061022,United Kingdom
C52514813,40648646,Think Gift,6,2023-01-07 12:05:05,46.86,312535821,United Kingdom
36447771,14881779,Hard Gift,11,2023-05-20 10:01:49,9.83,917745508,United Kingdom
41178289,60558099,Whose Gift,2,2023-03-25 19:17:29,17.92,953348285,United Kingdom
95297709,35500931,Rest Gift,11,2023-02-16 02:07:12,89.9,243889717,United Kingdom
52801894,86780298,Room Gift,13,2023-01-24 14:17:42,49.3,647585009,United Kingdom
47363974,31395581,I Gift,12,2023-03-29 16:28:59,94.86,137467145,United Kingdom
35285325,85338626,We Gift,13,2023-03-20 09:42:03,98.16,767719734,United Kingdom
